2024-04-08 14:32:43.194452, [Type.TEMPERATURE: 27.992820739746094 Unit.CELCIUS, Type.HUMIDITY: 16.884994506835938 Unit.HUMIDITY, Type.LUMINOSITY: 8057 Unit.LUX]
2024-04-08 14:32:44.179503, [Type.TEMPERATURE: 28.07464599609375 Unit.CELCIUS, Type.HUMIDITY: 16.893386840820312 Unit.HUMIDITY, Type.LUMINOSITY: 8063 Unit.LUX]
2024-04-08 14:32:45.180549, [Type.TEMPERATURE: 28.1005859375 Unit.CELCIUS, Type.HUMIDITY: 16.80002212524414 Unit.HUMIDITY, Type.LUMINOSITY: 8159 Unit.LUX]
2024-04-08 14:32:46.180041, [Type.TEMPERATURE: 28.061294555664062 Unit.CELCIUS, Type.HUMIDITY: 16.725444793701172 Unit.HUMIDITY, Type.LUMINOSITY: 8349 Unit.LUX]
2024-04-08 14:32:47.180339, [Type.TEMPERATURE: 28.124618530273438 Unit.CELCIUS, Type.HUMIDITY: 16.649627685546875 Unit.HUMIDITY, Type.LUMINOSITY: 8686 Unit.LUX]
2024-04-08 14:32:48.179803, [Type.TEMPERATURE: 28.195953369140625 Unit.CELCIUS, Type.HUMIDITY: 16.649627685546875 Unit.HUMIDITY, Type.LUMINOSITY: 8566 Unit.LUX]
2024-04-08 14:32:49.182283, [Type.TEMPERATURE: 28.258895874023438 Unit.CELCIUS, Type.HUMIDITY: 16.727924346923828 Unit.HUMIDITY, Type.LUMINOSITY: 8188 Unit.LUX]
2024-04-08 14:32:50.182040, [Type.TEMPERATURE: 28.34186553955078 Unit.CELCIUS, Type.HUMIDITY: 16.739368438720703 Unit.HUMIDITY, Type.LUMINOSITY: 8338 Unit.LUX]
2024-04-08 14:32:51.179782, [Type.TEMPERATURE: 28.38573455810547 Unit.CELCIUS, Type.HUMIDITY: 16.722965240478516 Unit.HUMIDITY, Type.LUMINOSITY: 8376 Unit.LUX]
2024-04-08 14:32:52.179750, [Type.TEMPERATURE: 28.43017578125 Unit.CELCIUS, Type.HUMIDITY: 16.722679138183594 Unit.HUMIDITY, Type.LUMINOSITY: 8409 Unit.LUX]
2024-04-08 14:32:53.180331, [Type.TEMPERATURE: 28.43761444091797 Unit.CELCIUS, Type.HUMIDITY: 16.682910919189453 Unit.HUMIDITY, Type.LUMINOSITY: 8725 Unit.LUX]
2024-04-08 14:32:54.179277, [Type.TEMPERATURE: 28.411102294921875 Unit.CELCIUS, Type.HUMIDITY: 16.681480407714844 Unit.HUMIDITY, Type.LUMINOSITY: 8765 Unit.LUX]
2024-04-08 14:32:55.179094, [Type.TEMPERATURE: 28.161239624023438 Unit.CELCIUS, Type.HUMIDITY: 16.608333587646484 Unit.HUMIDITY, Type.LUMINOSITY: 8708 Unit.LUX]
2024-04-08 14:32:56.179971, [Type.TEMPERATURE: 28.118324279785156 Unit.CELCIUS, Type.HUMIDITY: 16.654682159423828 Unit.HUMIDITY, Type.LUMINOSITY: 8862 Unit.LUX]
2024-04-08 14:32:57.179293, [Type.TEMPERATURE: 28.213882446289062 Unit.CELCIUS, Type.HUMIDITY: 16.792774200439453 Unit.HUMIDITY, Type.LUMINOSITY: 8773 Unit.LUX]
2024-04-08 14:32:58.178683, [Type.TEMPERATURE: 28.270339965820312 Unit.CELCIUS, Type.HUMIDITY: 16.725540161132812 Unit.HUMIDITY, Type.LUMINOSITY: 8820 Unit.LUX]
2024-04-08 14:32:59.179677, [Type.TEMPERATURE: 28.32183837890625 Unit.CELCIUS, Type.HUMIDITY: 16.650676727294922 Unit.HUMIDITY, Type.LUMINOSITY: 8684 Unit.LUX]
2024-04-08 14:33:00.181817, [Type.TEMPERATURE: 28.35216522216797 Unit.CELCIUS, Type.HUMIDITY: 16.58935546875 Unit.HUMIDITY, Type.LUMINOSITY: 8711 Unit.LUX]
2024-04-08 14:33:01.182268, [Type.TEMPERATURE: 28.328895568847656 Unit.CELCIUS, Type.HUMIDITY: 16.566085815429688 Unit.HUMIDITY, Type.LUMINOSITY: 8712 Unit.LUX]
2024-04-08 14:33:02.179664, [Type.TEMPERATURE: 28.345108032226562 Unit.CELCIUS, Type.HUMIDITY: 16.519451141357422 Unit.HUMIDITY, Type.LUMINOSITY: 8695 Unit.LUX]
